epoch,acc,loss,val_acc,val_loss
0,0.8304810870378162,0.42923192918329817,0.8479091178634213,0.364902552804988
1,0.8501162933083318,0.3662562251295304,0.8623053568337179,0.32752881280332874
2,0.8629452809415988,0.33049939250271854,0.8703359124149378,0.3129476960148287
3,0.87197943444876,0.31106602832654917,0.8775829985108832,0.3054455503735273
4,0.8803280695340729,0.2940076629554267,0.880618940142457,0.2985668626124403
5,0.8860815277296905,0.28105008484012917,0.8839486827755544,0.2978322469555378
6,0.891859468723222,0.2658257683689131,0.884242483677844,0.304145508511925
7,0.8981515485400712,0.2547796470544843,0.8842424834793758,0.29965555534349014
8,0.903121557106133,0.24288735573981146,0.8906081677440472,0.3007297489061352
9,0.9064512180208008,0.2358496918367747,0.89041230054201,0.2942206151933047
10,0.9138205410742762,0.22126456046063572,0.8924689059649307,0.29573302969282517
11,0.9154608887285888,0.2153078913725142,0.8924689059649307,0.293615748072427
12,0.9190843432532455,0.20520541617811666,0.8919792380590722,0.2934144521793368
13,0.9214836577304444,0.19941487083390988,0.8972676526133058,0.3075150698817403
14,0.9246419390392853,0.19172870494997155,0.8957007147985415,0.30247882524861514
15,0.9298322928172166,0.18241572471928139,0.8927627067679862,0.3011393934275235
16,0.9325254009058637,0.17422987697232176,0.8968759179115295,0.3026156949548644
17,0.9352674745990941,0.16845217541987476,0.8966800508087266,0.31796558122655433
18,0.935830579019699,0.16358701821085084,0.8973655860158561,0.3211663557542502
19,0.9396988615512206,0.15618721256496595,0.8970717852128006,0.3186491320692072
20,0.9401395519647447,0.15404865525353711,0.8956027814777132,0.33555790724623347
21,0.943101970865467,0.14778506922388415,0.8977573204199302,0.34893525738771464
22,0.9446199045170768,0.14260001166741113,0.8921751053428314,0.322438205281407
23,0.9468968049944914,0.13765496204369257,0.8971697188138191,0.33697000690969825
24,0.9487085322590086,0.13480331237407484,0.8972676524148376,0.37667665745354856
25,0.952503366388033,0.12697655988273662,0.8923709727433365,0.36794061545071366
26,0.953164402009049,0.12417135408709312,0.8897267654166027,0.3729855783926543
27,0.9538009548306917,0.12011606409655073,0.8971697188138191,0.38347390592360914
28,0.9549271636675236,0.11896784513268047,0.8957007149970097,0.3856248863412799
29,0.9574978577549271,0.1140795958700284,0.8940358436804609,0.38073954613385524
30,0.9582323417798996,0.11227728690596817,0.8940358436804609,0.3648504465453574
31,0.960019586240666,0.1070936945290621,0.8996180587400479,0.40283575753555767
32,0.9603378626529466,0.10377057623777122,0.8979531877212013,0.3818537661111293
33,0.9604113110539846,0.10339981691294127,0.8983449222245093,0.39276672867471984
34,0.9623944179228695,0.09872811545552553,0.895406914193954,0.3693250234476582
35,0.9628106255355613,0.09707112445878288,0.8945255116855534,0.38860027720430623
36,0.964034765577182,0.09555543522024544,0.8945255114870854,0.3918505752735163
37,0.9647937324044462,0.09158897415881555,0.8951131131924305,0.4247633869200726
38,0.9653323540213,0.0919021578222442,0.8958965820998126,0.38525162551717324
39,0.9646713184002841,0.09253769522161842,0.8954069142931881,0.41476322193037646
