epoch,acc,loss,val_acc,val_loss
0,0.8392948953404044,0.4550235615700049,0.8364508863457876,0.4423483112669519
1,0.8399559309614202,0.42643191800705293,0.8396826951793984,0.4013005601281039
2,0.8643408005905058,0.3483487885312652,0.8668103028775055,0.33536453462933574
3,0.9029256947009329,0.2538946354731394,0.8866908236040727,0.3144092025001256
4,0.9311788468600808,0.18591826516432167,0.8915875036549982,0.32402149176413136
5,0.950569225120813,0.14138953892450493,0.8964841838051577,0.3427624421285586
6,0.9618802791039295,0.10886638207104131,0.9000097933425899,0.364973261613837
7,0.9721630554535439,0.08442748951298022,0.8984428557262938,0.39571357161848614
8,0.9778675480474966,0.06595692325534826,0.8964841836066896,0.4261831287456976
9,0.9822254865956666,0.05693731862216666,0.8985407892280782,0.47641006222423615
10,0.9851144570938916,0.0473398723477316,0.8979531876219672,0.48723382501699775
11,0.9880279103929489,0.0398322824497049,0.8944275783647252,0.5243773427495012
12,0.9893744644387318,0.03649822962858546,0.8945255114870854,0.5563689513720631
13,0.9910637776961685,0.031189216549334643,0.8945255114870854,0.587209008323984
14,0.9926306769494431,0.02671346049365908,0.8939379099802083,0.6036779738210368
15,0.9938058513893989,0.022260881928230645,0.892273039043084,0.6253236507577908
16,0.9943199902068797,0.021886512434855877,0.8900205660211901,0.6430652418025454
17,0.9951768882360142,0.018447472170034753,0.8919792381407944,0.7563190563700363
18,0.9950544742318521,0.01932645301533901,0.8911957693326463,0.701332020095298
19,0.9955441302485004,0.01694239113586278,0.8866908235865608,0.7108229144863348
20,0.9956175786509976,0.017342033623252005,0.8890412301102391,0.7352151998856219
21,0.9963520626759701,0.013703111574269922,0.884438350763135,0.7447160463026788
22,0.9963765454768025,0.013465526856155527,0.8860052882801972,0.7589284572927273
